State,County,IMU Score,Zip
PW,AIMELIIK,42.5,70002
PW,KAYANGEL,42.5,70100
PW,NGARCHELONG,42.5,70218
PW,NGARDMAU,42.5,70222
PW,HATOBOHEIT,42.5,70050
PW,NGARAARD,42.5,70214
PW,AIRAI,42.5,70004
PW,NGIWAL,42.5,70228
PW,PELELIU,42.5,70350
PW,SONSOROL,42.5,70370
PW,ANGAUR,42.5,70010
PW,KOROR,42.5,70150
PW,MELEKEOK,42.5,70212
PW,NGATPANG,42.5,70224
PW,NGCHESAR,42.5,70226
PW,NGERNMLENGUI,42.5,70227
MH,UTRIK,36.4,68410
MH,WOTHO,36.4,68420
MH,WOTJE,36.4,68430
MH,MEJIT,36.4,68310
MH,MILI,36.4,68320
MH,TOKE,36.4,68385
MH,KWAJALEIN,36.4,68150
MH,LIKIEP,36.4,68180
MH,MAJURO,36.4,68190
MH,NAMORIK,36.4,68330
MH,NAMU,36.4,68340
MH,RONGRIK,36.4,68360
MH,JABAT,36.4,68110
MH,UJAE,36.4,68390
MH,UJELANG,36.4,68400
MH,ERIKUB,36.4,68100
MH,LAE,36.4,68160
MH,LIB,36.4,68170
MH,BIKAR,36.4,68060
MH,BIKINI,36.4,68070
MH,BOKAK,36.4,68073
MH,EBON,36.4,68080
MH,ENEWETAK,36.4,68090
MH,RONGELAP,36.4,68350
MH,JALUIT,36.4,68120
MH,JEMO,36.4,68130
MH,AUR,36.4,68050
MH,MALOELAP,36.4,68300
MH,AILINGINAE,36.4,68007
MH,AILINGLAPLAP,36.4,68010
MH,AILUK,36.4,68030
MH,ARNO,36.4,68040
GU,GUAM,61.1,66010
WY,TETON,81.4,56039
WY,SUBLETTE,76.5,56035
WI,BAYFIELD,49.0,55007
VA,SHENANDOAH,59.9,51171
VA,MIDDLESEX,58.8,51119
VA,RAPPAHANNOCK,58.6,51157
TX,HOUSTON,48.6,48225
TX,STARR,51.7,48427
TX,GARZA,60.8,48169
TX,EASTLAND,56.4,48133
TX,BORDEN,59.5,48033
TX,KERR,59.9,48265
TX,FRANKLIN,60.3,48159
TX,KARNES,57.1,48255
TX,UPTON,60.8,48461
TX,HILL,59.4,48217
TN,MCMINN,56.8,47107
TN,ROANE,57.4,47145
TN,HENRY,53.6,47079
TN,POLK,50.0,47139
TN,LEWIS,61.0,47101
TN,SEQUATCHIE,61.0,47153
TN,CAMPBELL,58.3,47013
TN,MORGAN,55.8,47129
TN,HOUSTON,56.8,47083
TN,JACKSON,51.2,47087
TN,DYER,60.7,47045
TN,MCNAIRY,61.6,47109
TN,CARROLL,61.0,47017
TN,BENTON,50.8,47005
TN,HUMPHREYS,60.7,47085
TN,HICKMAN,60.2,47081
TN,DEKALB,61.1,47041
TN,GRAINGER,52.6,47057
TN,LAKE,52.3,47095
TN,CARTER,59.6,47019
TN,UNION,56.2,47173
TN,LAUDERDALE,48.0,47097
TN,JOHNSON,52.8,47091
TN,RHEA,60.4,47143
TN,WASHINGTON,60.7,47179
TN,GRUNDY,57.3,47061
TN,MARION,57.2,47115
TN,CLAIBORNE,61.6,47025
